"Timestamp","Gender","Age","Ethnicity","Region","Level of Education","Field of Study","Which color do you bet on?","Why did you bet on that?","What is the MOST that you would be willing to pay for each ticket?","Flip 1 of 20","Flip 2 of 20","Flip 3 of 20","Flip 4 of 20","Flip 5 of 20","Flip 6 of 20","Flip 7 of 20","Flip 8 of 20","Flip 9 of 20","Flip 10 of 20","Flip 11 of 20","Flip 12 of 20","Flip 13 of 20","Flip 14 of 20","Flip 15 of 20","Flip 16 of 20","Flip 17 of 20","Flip 18 of 20","Flip 19 of 20","Flip 20 of 20","How do you call it? Heads or Tails?","What's the most you'd be willing to spend to play?","What percent chance do you believe the next flip will land on heads?","How do you believe this coin is weighted in terms of percent?"
"2013/04/24 12:00:00 AM EST","Female","36-45","Asian","Southwest Asia (Indian Subcontinent)","Some College","Social Sciences","Red","Red is the current trend","$35","Heads","Heads","Heads","Tails","Heads","Heads","Tails","Heads","Heads","Tails","Heads","Heads","Heads","Tails","Heads","Heads","Heads","Tails","Heads","Heads","Heads","More than $100","100%","100% biased towards heads"
"2013/04/24 12:01:08 AM EST","Female","56-65","Asian","Southwest Asia (Indian Subcontinent)","Bachelors Degree","Other","Black","I bet randomly","$10","Heads","Heads","Heads","Heads","Heads","Tails","Tails","Tails","Tails","Tails","Heads","Heads","Heads","Heads","Heads","Tails","Tails","Tails","Tails","Tails","Tails","$10","50%","50% tails, 50% heads"
"2013/04/24 12:02:16 AM EST","Female","26-35","Asian","Southeast Asia","Masters Degree","STEM (Science, Technology, Engineering, Math)","Red","Red is the current trend","$80","Heads","Tails","Tails","Heads","Heads","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Tails","Tails","Heads","Tails","Tails","Heads","Heads","$80","100%","50% tails, 50% heads"
"2013/04/24 12:02:47 AM EST","Female","26-35","East Indian / Asian Subcontinent","Southwest Asia (Indian Subcontinent)","Bachelors Degree","Other","Black","I bet randomly","$100","Heads","Tails","Heads","Heads","Heads","Heads","Tails","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Tails","Heads","Heads","Tails","Heads","Heads","$100","70%","50% tails, 50% heads"
"2013/04/24 12:03:05 AM EST","Male","26-35","East Indian / Asian Subcontinent","Southwest Asia (Indian Subcontinent)","Bachelors Degree","Other","Red","I bet randomly","$50","Heads","Heads","Tails","Heads","Heads","Tails","Tails","Heads","Tails","Tails","Heads","Tails","Tails","Heads","Tails","Tails","Heads","Heads","Heads","Tails","Heads","$50","60%","60% biased towards heads"
"2013/04/24 12:03:22 AM EST","Male","46-55","Asian","Southeast Asia","Bachelors Degree","Other","Red","Red is the current trend","$5","Heads","Heads","Tails","Heads","Heads","Tails","Tails","Heads","Tails","Tails","Heads","Tails","Tails","Tails","Heads","Heads","Tails","Heads","Tails","Heads","Tails","$10","50%","50% tails, 50% heads"
"2013/04/24 12:04:34 AM EST","Female","18-25","Asian","Southwest Asia (Indian Subcontinent)","Bachelors Degree","STEM (Science, Technology, Engineering, Math)","Red","Red is the current trend","$10","Heads","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Heads","Heads","Tails","Heads","Heads","Heads","Tails","Heads","Heads","Tails","Tails","Heads","Heads","$0","100%","100% biased towards heads"
"2013/04/24 12:04:42 AM EST","Female","36-45","Asian","Southwest Asia (Indian Subcontinent)","Bachelors Degree","Other","Red","Red is the current trend","$20","Heads","Heads","Tails","Heads","Heads","Heads","Tails","Tails","Heads","Tails","Heads","Heads","Tails","Tails","Heads","Heads","Tails","Heads","Tails","Tails","Heads","$60","90%","65% biased towards heads"
"2013/04/24 12:05:53 AM EST","Female","56-65","Asian","Southwest Asia (Indian Subcontinent)","Masters Degree","Other","Red","Red is the current trend","$15","Heads","Heads","Tails","Heads","Tails","Tails","Tails","Heads","Tails","Tails","Tails","Heads","Heads","Tails","Tails","Tails","Tails","Tails","Tails","Heads","Tails","$15","50%","50% tails, 50% heads"
"2013/04/24 12:06:27 AM EST","Female","36-45","Asian","Southwest Asia (Indian Subcontinent)","Some College","Other","Black","I bet randomly","$5","Heads","Heads","Tails","Heads","Tails","Tails","Tails","Heads","Tails","Tails","Tails","Heads","Heads","Heads","Tails","Tails","Tails","Heads","Heads","Heads","Heads","$10","70%","50% tails, 50% heads"
"2013/04/24 12:08:26 AM EST","Female","46-55","Asian","Southwest Asia (Indian Subcontinent)","Masters Degree","Social Sciences","Red","I bet randomly","$5","Tails","Heads","Heads","Tails","Tails","Heads","Heads","Heads","Heads","Tails","Tails","Heads","Heads","Heads","Tails","Tails","Tails","Tails","Heads","Heads","Heads","$5","75%","50% tails, 50% heads"
"2013/04/24 12:10:38 AM EST","Male","26-35","Asian","Southeast Asia","Masters Degree","STEM (Science, Technology, Engineering, Math)","Red","Black hasn't come up in a while","$20","Heads","Heads","Tails","Heads","Heads","Tails","Heads","Tails","Tails","Tails","Tails","Heads","Heads","Heads","Heads","Heads","Tails","Heads","Heads","Heads","Heads","$15","70%","70% biased towards heads"
"2013/04/24 12:10:38 AM EST","Female","36-45","Asian","Southwest Asia (Indian Subcontinent)","Bachelors Degree","Humanities / Liberal Arts","Black","I bet randomly","$50","Heads","Tails","Heads","Heads","Tails","Heads","Heads","Heads","Heads","Tails","Heads","Heads","Heads","Tails","Heads","Heads","Heads","Tails","Heads","Heads","Heads","$50","100%","90% biased towards heads"
"2013/04/24 12:10:57 AM EST","Female","46-55","White / Caucasian","Australia and Oceania","Doctorate","STEM (Science, Technology, Engineering, Math)","Black","I bet randomly","$10","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Heads","$5","50%","50% tails, 50% heads"
"2013/04/24 12:11:45 AM EST","Male","18-25","Asian","East Asia","Bachelors Degree","Social Sciences","Black","Black hasn't come up in a while","$70","Heads","Heads","Tails","Heads","Heads","Tails","Heads","Tails","Heads","Tails","Tails","Tails","Tails","Tails","Heads","Tails","Tails","Tails","Tails","Tails","Heads","$90","90%","85% biased towards tails"
"2013/04/24 12:12:38 AM EST","Male","56-65","Asian","Southwest Asia (Indian Subcontinent)","Bachelors Degree","Other","Red","Red is the current trend","$50","Heads","Tails","Tails","Heads","Tails","Tails","Heads","Heads","Tails","Tails","Tails","Heads","Tails","Heads","Heads","Tails","Tails","Heads","Heads","Tails","Heads","$20","55%","50% tails, 50% heads"
"2013/04/24 12:17:40 AM EST","Male","26-35","Asian","Southeast Asia","Masters Degree","STEM (Science, Technology, Engineering, Math)","Black","Red is the current trend","$30","Heads","Heads","Heads","Tails","Heads","Heads","Tails","Heads","Heads","Heads","Heads","Tails","Heads","Tails","Heads","Heads","Heads","Heads","Tails","Heads","Heads","$20","100%","50% tails, 50% heads"
